Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,22.24,0.0,50.0,2.53,0,0.0
2,2,4,0,22.02,0.0,50.08,2.38,0,0.0
2,3,4,0,21.82,0.0,50.21,2.36,0,0.0
2,4,4,0,21.63,0.0,50.35,2.22,0,0.0
2,5,4,0,21.49,0.0,50.63,2.4,0,0.0
2,6,4,0,21.35,0.0,51.15,2.53,0,0.0
2,7,4,0,21.46,0.0,50.78,2.31,0,1.13
2,8,4,0,21.41,0.0,51.24,4.92,0,0.09
2,9,4,0,21.14,0.0,52.51,8.02,0,0.62
2,10,4,0,21.5,0.0,51.17,12.22,0,3.62
2,11,4,0,21.79,0.0,46.25,12.98,0,3.24
2,12,4,0,22.08,0.0,39.07,13.43,0,2.94
2,13,4,0,22.21,0.0,33.91,13.22,0,2.82
2,14,4,0,22.28,0.0,31.52,12.81,0,2.81
2,15,4,0,22.36,0.0,31.47,12.23,0,2.85
2,16,4,0,22.53,0.0,32.29,11.07,0,2.88
2,17,4,0,22.55,0.0,32.8,10.1,0,2.89
2,18,4,0,22.31,0.0,34.58,9.66,0,3.04
2,19,4,0,22.19,0.0,39.23,10.0,0,0.0
2,20,4,0,21.86,0.0,46.6,7.11,0,0.0
2,21,4,0,21.7,0.0,50.46,6.87,0,0.0
2,22,4,0,21.75,0.0,50.89,2.13,0,0.0
2,23,4,0,21.54,0.0,51.46,2.16,0,0.0
2,24,4,0,21.31,0.0,52.02,2.22,0,0.0
2,1,5,0,21.11,0.0,52.37,2.33,0,0.0
2,2,5,0,20.97,0.0,52.59,2.06,0,0.0
2,3,5,0,20.84,0.0,52.8,2.32,0,0.0
2,4,5,0,20.69,0.0,53.11,2.39,0,0.0
2,5,5,0,20.5,0.0,53.41,2.56,0,0.0
2,6,5,0,20.67,0.0,52.56,2.58,0,0.41
2,7,5,0,20.81,0.0,51.85,2.7,0,0.79
