Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
744.5,0.0
745.5,0.0
746.5,0.0
747.5,0.0
748.5,0.0
749.5,0.0
750.5,0.0
751.5,0.0
752.5,79.9884
753.5,133.158
754.5,228.477
755.5,134.764
756.5,220.035
757.5,108.456
758.5,286.676
759.5,230.824
760.5,211.27700000000002
761.5,7.402419999999999
762.5,0.0
763.5,0.0
764.5,0.0
765.5,0.0
766.5,0.0
767.5,0.0
768.5,0.0
769.5,0.0
770.5,0.0
771.5,0.0
772.5,0.0
773.5,0.0
774.5,0.0
775.5,0.0
776.5,23.1476
777.5,18.0031
778.5,167.47400000000002
779.5,348.691
780.5,414.165
781.5,354.585
782.5,212.86
783.5,26.6755
784.5,43.5415
785.5,76.9328
786.5,0.0
787.5,0.0
788.5,0.0
789.5,0.0
790.5,0.0
791.5,0.0
792.5,0.0
793.5,0.0
794.5,0.0
795.5,0.0
796.5,0.0
797.5,0.0
798.5,0.0
799.5,0.0
800.5,117.476
801.5,145.511
802.5,272.188
803.5,255.90200000000002
804.5,213.544
805.5,130.41299999999998
806.5,137.3
807.5,128.202
808.5,87.2226
809.5,18.9176
810.5,0.0
811.5,0.0
812.5,0.0
813.5,0.0
814.5,0.0
815.5,0.0
816.5,0.0
817.5,0.0
818.5,0.0
819.5,0.0
820.5,0.0
821.5,0.0
822.5,0.0
823.5,0.0
824.5,90.6141
825.5,274.32099999999997
826.5,210.989
827.5,190.653
828.5,187.332
829.5,138.164
830.5,152.966
831.5,181.53
832.5,82.8128
833.5,16.2603
834.5,0.0
835.5,0.0
836.5,0.0
837.5,0.0
838.5,0.0
839.5,0.0
840.5,0.0
841.5,0.0
842.5,0.0
843.5,0.0
844.5,0.0
845.5,0.0
846.5,0.0
847.5,0.0
848.5,23.0313
849.5,55.1657
850.5,106.384
851.5,144.637
852.5,141.043
853.5,134.61
854.5,84.3334
855.5,73.1778
856.5,33.6502
857.5,6.1349599999999995
858.5,0.0
859.5,0.0
860.5,0.0
861.5,0.0
862.5,0.0
863.5,0.0
864.5,0.0
865.5,0.0
866.5,0.0
867.5,0.0
868.5,0.0
869.5,0.0
870.5,0.0
871.5,0.0
872.5,133.909
873.5,251.167
874.5,446.94199999999995
875.5,549.445
876.5,559.705
877.5,699.002
878.5,469.032
879.5,221.84099999999998
880.5,43.5832
881.5,73.4522
882.5,0.0
883.5,0.0
884.5,0.0
885.5,0.0
886.5,0.0
887.5,0.0
888.5,0.0
889.5,0.0
890.5,0.0
891.5,0.0
892.5,0.0
893.5,0.0
894.5,0.0
895.5,0.0
896.5,159.863
897.5,316.192
898.5,413.19199999999995
899.5,436.69300000000004
900.5,392.421
901.5,702.383
902.5,535.307
903.5,379.78
904.5,165.907
905.5,57.15
906.5,0.0
907.5,0.0
908.5,0.0
909.5,0.0
910.5,0.0
911.5,0.0
912.5,0.0
913.5,0.0
914.5,0.0
915.5,0.0
916.5,0.0
917.5,0.0
918.5,0.0
919.5,0.0
920.5,156.141
921.5,380.439
922.5,535.305
923.5,639.56
924.5,625.461
925.5,584.3330000000001
926.5,553.109
927.5,483.75800000000004
928.5,307.35900000000004
929.5,117.29
930.5,0.0
931.5,0.0
932.5,0.0
933.5,0.0
934.5,0.0
935.5,0.0
936.5,0.0
937.5,0.0
938.5,0.0
939.5,0.0
940.5,0.0
941.5,0.0
942.5,0.0
943.5,0.0
944.5,142.031
945.5,331.216
946.5,457.63199999999995
947.5,580.881
948.5,688.7360000000001
949.5,695.058
950.5,641.619
951.5,454.49300000000005
952.5,223.429
953.5,67.4094
954.5,0.0
955.5,0.0
956.5,0.0
957.5,0.0
958.5,0.0
959.5,0.0
960.5,0.0
961.5,0.0
962.5,0.0
963.5,0.0
964.5,0.0
965.5,0.0
966.5,0.0
967.5,0.0
968.5,81.7323
969.5,59.4391
970.5,34.8076
971.5,324.454
972.5,233.095
973.5,227.266
974.5,391.91900000000004
975.5,322.902
976.5,139.16
977.5,85.0331
978.5,0.0
979.5,0.0
980.5,0.0
981.5,0.0
982.5,0.0
983.5,0.0
984.5,0.0
985.5,0.0
986.5,0.0
987.5,0.0
988.5,0.0
989.5,0.0
990.5,0.0
991.5,0.0
992.5,16.002
993.5,40.4798
994.5,69.1261
995.5,78.6088
996.5,87.3521
997.5,83.7171
998.5,77.5101
999.5,58.4213
1000.5,33.2569
1001.5,8.88415
1002.5,0.0
1003.5,0.0
1004.5,0.0
1005.5,0.0
1006.5,0.0
1007.5,0.0
