Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
20.12,64.12,0.0,0.0,17.95,21.59,19.31,81.52,76.04,75.88,3.04,294.37,0.0,0.0,81.27,0.0
19.46,70.62,0.0,0.0,18.48,21.63,16.73,82.49,82.42,87.27,27.68,285.12,0.0,0.0,99.29,0.0
18.26,83.88,0.0,0.0,19.03,23.28,16.07,79.87,77.65,86.65,58.9,255.09,0.0,0.0,181.75,0.0
18.2,83.0,0.0,0.0,19.11,22.76,14.93,81.55,73.37,90.74,107.08,154.43,0.0,0.0,275.6,0.0
18.25,82.5,0.0,0.0,19.89,23.75,16.47,80.59,71.96,78.91,128.16,78.49,0.0,0.0,360.61,0.0
18.04,81.5,0.0,0.0,20.39,22.78,15.54,78.72,72.72,86.1,106.68,9.07,0.0,15.43,27.39,0.0
17.81,82.5,3.0,0.0,21.25,22.35,15.92,78.02,59.34,86.71,287.43,0.0,5.63,79.35,0.0,26.93
18.26,84.0,27.19,0.0,21.84,21.04,15.1,81.21,56.99,87.29,289.56,0.0,54.48,100.83,0.0,176.19
18.79,81.5,57.75,0.0,23.08,21.38,18.23,78.83,61.95,67.69,251.45,0.0,160.05,179.15,0.0,175.45
19.34,80.0,109.19,0.0,23.1,19.74,18.18,71.69,81.89,65.87,158.34,0.0,226.95,282.58,0.0,101.14
19.98,80.0,129.12,0.0,23.62,19.82,19.51,72.67,81.92,57.15,77.75,0.0,271.78,357.18,0.0,95.95
20.2,80.0,105.0,15.19,22.96,19.02,20.6,71.8,82.32,53.8,9.19,0.0,302.48,27.76,0.0,244.33
20.95,80.0,280.5,77.44,22.38,18.63,23.09,59.23,79.94,45.39,0.0,0.0,330.47,0.0,0.0,275.9
22.02,80.0,294.0,102.38,21.37,17.01,22.46,55.68,85.64,44.9,0.0,0.0,245.42,0.0,0.0,341.97
22.9,80.0,247.81,176.56,21.15,16.3,25.32,62.98,85.32,35.79,0.0,0.0,274.35,0.0,0.0,181.42
23.39,70.0,162.25,289.56,20.02,15.49,24.05,80.32,87.37,38.97,0.0,0.0,181.63,0.0,0.0,122.27
