Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,22.92,0.0,62.86,0.39,0,0.0
2,2,4,0,22.68,0.0,63.4,0.41,0,0.0
2,3,4,0,22.44,0.0,64.28,0.47,0,0.0
2,4,4,0,22.21,0.0,65.21,0.49,0,0.0
2,5,4,0,22.06,0.0,65.77,0.5,0,0.0
2,6,4,0,21.89,0.0,66.42,0.54,0,0.0
2,7,4,0,21.73,0.0,66.93,0.54,0,0.0
2,8,4,0,21.68,0.0,67.05,0.49,0,0.39
2,9,4,0,21.74,0.0,66.91,1.74,0,0.76
2,10,4,0,21.94,0.0,66.81,5.85,0,0.0
2,11,4,0,22.37,0.0,67.02,8.06,0,0.0
2,12,4,0,22.71,0.0,68.03,7.67,0,0.0
2,13,4,0,22.94,0.0,69.5,7.86,0,0.0
2,14,4,0,23.59,0.0,71.49,7.23,0,1.88
2,15,4,0,23.88,0.0,72.72,8.36,0,27.15
2,16,4,0,23.89,0.0,68.85,8.17,0,40.08
2,17,4,0,23.89,0.0,64.23,7.13,0,43.03
2,18,4,0,23.89,0.0,66.38,8.51,0,35.19
2,19,4,0,23.89,0.0,59.05,7.38,0,14.51
2,20,4,0,23.79,0.0,51.05,7.07,0,3.26
2,21,4,0,23.43,0.0,51.71,5.63,0,1.81
2,22,4,0,23.42,0.1,54.9,2.22,0,0.0
2,23,4,0,23.21,0.14,57.49,2.31,0,0.0
2,24,4,0,22.86,0.1,59.12,1.62,0,0.0
2,1,5,0,22.65,0.0,59.92,0.5,0,0.0
2,2,5,0,22.43,0.0,60.8,0.43,0,0.0
2,3,5,0,22.21,0.0,61.57,0.43,0,0.0
2,4,5,0,21.98,0.0,62.31,0.49,0,0.0
2,5,5,0,21.75,0.0,62.94,0.44,0,0.0
2,6,5,0,21.55,0.0,63.38,0.39,0,0.0
2,7,5,0,21.39,0.0,63.86,0.37,0,0.0
2,8,5,0,21.39,0.0,63.63,0.41,0,0.37
2,9,5,0,21.5,0.0,62.08,1.43,0,0.72
2,10,5,0,21.8,0.0,58.26,5.53,0,0.0
2,11,5,0,22.39,0.0,51.82,7.99,0,0.0
2,12,5,0,23.18,0.0,46.88,8.07,0,0.0
2,13,5,0,23.78,0.0,44.66,7.66,0,4.85
2,14,5,0,23.89,0.0,42.37,7.15,0,27.91
2,15,5,0,23.89,0.0,40.03,7.09,0,34.01
2,16,5,0,23.89,0.0,39.92,8.49,0,33.03
2,17,5,0,23.89,0.0,39.76,8.3,0,22.35
2,18,5,0,23.88,0.0,41.41,8.47,0,8.21
2,19,5,0,23.73,0.0,44.14,9.02,0,1.4
2,20,5,0,23.3,0.0,48.46,9.3,0,0.0
2,21,5,0,22.68,0.0,50.9,6.69,0,0.0
2,22,5,0,22.77,0.03,50.75,2.93,0,0.0
2,23,5,0,22.73,0.11,50.63,2.93,0,0.0
2,24,5,0,22.39,0.07,51.39,1.77,0,0.0
2,1,6,0,22.08,0.03,51.92,1.79,0,0.0
2,2,6,0,21.96,0.0,52.19,0.55,0,0.0
2,3,6,0,21.75,0.0,52.8,0.54,0,0.0
2,4,6,0,21.52,0.0,53.5,0.55,0,0.0
2,5,6,0,21.28,0.0,54.23,0.55,0,0.0
2,6,6,0,21.04,0.0,54.98,0.54,0,0.0
2,7,6,0,20.8,0.0,55.63,0.54,0,0.0
2,8,6,0,20.8,0.0,55.43,0.54,0,0.33
2,9,6,0,21.07,0.0,52.88,1.79,0,0.62
2,10,6,0,21.09,0.0,48.03,6.42,0,0.0
2,11,6,0,21.62,0.0,41.57,9.97,0,0.0
2,12,6,0,22.45,0.0,36.23,9.27,0,0.0
2,13,6,0,22.87,0.0,34.0,9.05,0,0.0
2,14,6,0,23.48,0.0,32.01,9.25,0,0.0
2,15,6,0,23.76,0.0,29.97,9.85,0,0.44
2,16,6,0,23.76,0.0,29.06,9.66,0,0.07
2,17,6,0,23.38,0.0,30.03,9.55,0,0.0
2,18,6,0,22.75,0.0,31.98,8.77,0,0.0
