Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,20.89,0.0,23.03,7.4,0.72,2.19
2,2,4,0,20.82,0.0,23.21,7.0,0.48,1.89
2,3,4,0,20.81,0.0,23.23,8.3,0.12,1.84
2,4,4,0,20.77,0.0,23.25,6.1,0.0,1.4
2,5,4,0,20.74,0.0,23.32,5.6,0.84,1.39
2,6,4,0,20.76,0.0,23.33,9.4,4.2,1.46
2,7,4,0,20.76,0.0,23.37,9.7,4.56,1.41
2,8,4,0,20.74,0.0,23.57,8.9,21.6,1.46
2,9,4,0,21.0,0.0,23.27,13.4,17.76,2.93
2,10,4,0,21.21,0.0,22.87,12.1,11.76,5.6
2,11,4,0,21.28,0.0,22.57,12.3,2.28,7.21
2,12,4,0,21.31,0.0,22.12,8.3,2.52,7.86
2,13,4,0,21.43,0.0,21.56,15.0,3.12,12.84
2,14,4,0,21.44,0.0,21.19,10.6,0.84,12.14
2,15,4,0,21.45,0.0,21.0,7.9,1.2,12.95
2,16,4,0,21.45,0.0,21.32,8.5,3.96,12.55
2,17,4,0,21.34,0.0,22.12,8.9,1.32,8.16
2,18,4,0,21.12,0.0,23.79,7.4,3.0,3.49
2,19,4,0,21.26,0.0,24.97,17.3,3.24,5.55
2,20,4,0,21.17,0.0,26.3,15.0,5.16,4.27
2,21,4,0,20.99,0.0,26.9,12.4,2.4,3.21
2,22,4,0,20.89,0.0,26.94,12.4,1.68,2.97
2,23,4,0,20.86,0.0,26.48,12.8,3.12,2.58
2,24,4,0,20.84,0.0,25.85,13.4,0.36,2.44
2,1,5,0,20.81,0.0,25.29,9.4,4.32,1.68
2,2,5,0,20.78,0.0,24.87,7.8,0.96,1.48
2,3,5,0,20.78,0.0,24.41,9.8,0.6,1.6
2,4,5,0,20.75,0.0,24.26,7.8,0.36,1.29
2,5,5,0,20.72,0.0,24.34,7.8,0.6,1.33
2,6,5,0,20.7,0.0,24.4,6.6,6.36,1.14
2,7,5,0,20.71,0.0,24.46,9.1,7.44,1.29
2,8,5,0,20.7,0.0,24.64,8.4,17.64,1.26
2,9,5,0,20.72,0.0,24.21,11.4,6.0,1.34
2,10,5,0,20.71,0.0,23.38,9.5,6.72,1.38
