Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
3.04,57.75,0.0,0.0,-0.78,5.18,0.96,76.18,49.22,69.51,0.0,60.63,0.0,0.0,884.78,0.0
2.14,61.88,0.0,0.0,-0.82,6.21,0.44,79.82,45.48,70.43,20.73,54.53,0.0,106.63,925.24,0.0
1.18,66.12,0.0,0.0,0.33,5.28,0.04,76.42,53.05,72.43,51.13,46.68,0.0,565.26,790.77,0.0
0.49,69.88,0.0,0.0,2.01,5.44,-1.63,68.65,55.4,85.8,63.31,41.48,0.0,742.22,679.34,0.0
-0.01,72.88,0.0,0.0,2.92,4.44,-1.42,62.19,62.15,85.99,62.97,19.57,0.0,802.28,331.9,0.0
-0.45,74.62,0.0,0.0,4.33,3.31,-1.2,52.62,69.89,83.61,65.88,0.0,0.0,857.07,0.0,0.0
-0.79,76.25,0.0,0.0,5.16,2.17,0.6,49.3,76.53,73.96,60.54,0.0,0.0,883.36,0.0,0.0
-0.77,79.5,20.81,107.06,5.88,2.17,1.0,46.62,75.94,71.26,53.3,0.0,24.95,904.24,0.0,0.0
0.3,76.62,51.0,563.81,5.5,1.58,0.27,52.22,77.86,71.88,47.46,0.0,60.52,804.07,0.0,0.0
1.84,69.62,62.44,732.06,5.38,0.94,1.27,55.64,77.16,66.99,41.3,0.0,91.28,676.42,0.0,0.0
3.21,60.75,64.5,821.81,4.46,0.76,2.08,62.07,74.19,64.98,19.6,0.0,80.36,332.29,0.0,0.0
4.33,52.62,65.88,857.06,3.37,0.29,0.53,69.64,73.98,72.41,0.0,0.0,124.12,0.0,0.0,43.87
