Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,22.31,0.0,33.05,0.51,0,0.0
2,2,4,0,22.08,0.0,33.49,0.53,0,0.0
2,3,4,0,21.82,0.0,33.96,0.55,0,0.0
2,4,4,0,21.54,0.0,34.43,0.54,0,0.0
2,5,4,0,21.33,0.0,34.75,0.54,0,0.0
2,6,4,0,21.13,0.0,35.1,0.55,0,0.0
2,7,4,0,20.9,0.0,35.48,0.55,0,0.0
2,8,4,0,20.92,0.0,35.33,0.55,0,0.62
2,9,4,0,21.14,0.0,34.58,1.82,0,1.0
2,10,4,0,21.22,0.0,33.41,6.72,0,0.0
2,11,4,0,21.63,0.0,31.83,10.07,0,0.09
2,12,4,0,22.11,0.0,30.33,10.07,0,0.02
2,13,4,0,22.15,0.0,30.11,9.21,0,0.0
2,14,4,0,22.58,0.0,29.69,8.39,0,0.0
2,15,4,0,22.83,0.0,29.5,9.1,0,0.0
2,16,4,0,23.02,0.0,29.77,9.45,0,0.0
2,17,4,0,22.88,0.0,30.71,9.13,0,0.0
2,18,4,0,22.46,0.0,32.49,9.68,0,0.0
2,19,4,0,22.35,0.0,35.01,10.07,0,0.0
2,20,4,0,22.02,0.0,40.26,10.07,0,0.0
2,21,4,0,21.58,0.0,44.71,6.54,0,0.0
2,22,4,0,21.72,0.0,45.05,2.57,0,0.0
2,23,4,0,21.71,0.04,44.97,2.32,0,0.0
2,24,4,0,21.47,0.0,45.14,1.33,0,0.0
2,1,5,0,21.26,0.0,45.23,0.42,0,0.0
2,2,5,0,21.05,0.0,45.6,0.4,0,0.0
2,3,5,0,20.83,0.0,46.05,0.41,0,0.0
2,4,5,0,20.57,0.0,46.59,0.45,0,0.0
2,5,5,0,20.32,0.0,46.99,0.5,0,0.0
2,6,5,0,20.16,0.0,47.19,0.43,0,0.0
2,7,5,0,19.97,0.0,47.41,0.39,0,0.0
2,8,5,0,20.16,0.0,46.42,0.41,0,0.67
2,9,5,0,20.91,0.0,43.43,1.49,0,0.93
2,10,5,0,20.91,0.0,41.2,5.06,0,0.0
2,11,5,0,21.28,0.0,36.92,7.14,0,0.03
2,12,5,0,22.04,0.0,32.58,7.26,0,0.41
2,13,5,0,22.45,0.0,29.67,6.79,0,0.07
2,14,5,0,22.92,0.0,28.31,6.97,0,0.0
2,15,5,0,23.1,0.0,27.02,8.14,0,0.0
2,16,5,0,23.11,0.0,26.24,7.93,0,0.0
2,17,5,0,22.76,0.0,26.07,8.18,0,0.0
2,18,5,0,22.22,0.0,26.58,8.94,0,0.0
2,19,5,0,22.09,0.0,26.73,9.53,0,0.0
2,20,5,0,21.78,0.0,27.11,9.8,0,0.0
2,21,5,0,21.35,0.0,27.21,6.45,0,0.0
2,22,5,0,21.53,0.0,26.66,2.93,0,0.0
2,23,5,0,21.56,0.02,26.63,2.93,0,0.0
2,24,5,0,21.35,0.0,26.91,1.81,0,0.0
2,1,6,0,20.97,0.0,27.47,1.81,0,0.0
2,2,6,0,20.82,0.0,27.68,0.55,0,0.0
2,3,6,0,20.6,0.0,28.06,0.55,0,0.0
2,4,6,0,20.36,0.0,28.46,0.53,0,0.0
2,5,6,0,20.14,0.0,28.83,0.55,0,0.0
2,6,6,0,19.93,0.0,29.2,0.55,0,0.0
2,7,6,0,19.74,0.0,29.54,0.55,0,0.0
2,8,6,0,20.02,0.0,29.02,0.52,0,0.63
2,9,6,0,20.86,0.0,27.47,1.8,0,0.88
2,10,6,0,20.92,0.0,27.21,6.72,0,0.0
2,11,6,0,21.08,0.0,26.59,10.07,0,0.0
2,12,6,0,21.6,0.0,25.03,10.07,0,0.27
2,13,6,0,21.7,0.0,24.08,9.52,0,0.02
2,14,6,0,22.08,0.0,22.26,9.81,0,0.0
2,15,6,0,22.18,0.0,20.72,10.07,0,0.0
2,16,6,0,22.02,0.0,20.24,10.07,0,0.0
2,17,6,0,21.57,0.0,20.62,10.07,0,0.0
2,18,6,0,21.12,0.0,21.91,10.07,0,0.0
2,19,6,0,21.15,0.0,22.66,10.07,0,0.0
2,20,6,0,21.02,0.0,23.26,10.07,0,0.0
2,21,6,0,20.95,0.0,23.09,6.72,0,0.0
2,22,6,0,21.11,0.0,22.58,2.93,0,0.0
2,23,6,0,21.06,0.0,22.61,2.93,0,0.0
2,24,6,0,20.87,0.0,22.87,2.93,0,0.0
2,1,7,0,20.33,0.0,23.51,1.68,0,0.0
2,2,7,0,20.09,0.0,23.72,0.46,0,0.0
2,3,7,0,19.81,0.0,24.0,0.49,0,0.0
2,4,7,0,19.53,0.0,24.25,0.52,0,0.0
2,5,7,0,19.24,0.0,24.49,0.55,0,0.0
2,6,7,0,18.97,0.0,24.66,0.55,0,0.0
2,7,7,0,18.78,0.0,24.74,0.55,0,0.0
2,8,7,0,19.07,0.0,24.16,0.55,0,0.74
2,9,7,0,20.98,0.0,21.07,1.81,0,0.9
2,10,7,0,20.95,0.0,20.08,6.72,0,0.0
2,11,7,0,20.96,0.0,18.99,9.65,0,0.0
2,12,7,0,20.97,0.0,19.06,9.64,0,0.0
2,13,7,0,20.91,0.0,19.72,8.71,0,0.0
2,14,7,0,20.96,0.0,20.37,8.83,0,0.0
2,15,7,0,20.95,0.0,21.36,8.32,0,0.0
2,16,7,0,20.96,0.0,22.3,8.26,0,0.0
2,17,7,0,20.96,0.0,22.86,7.67,0,0.0
2,18,7,0,20.96,0.0,22.49,6.85,0,0.0
2,19,7,0,20.97,0.0,21.96,4.77,0,0.0
2,20,7,0,20.41,0.0,22.72,2.42,0,0.0
2,21,7,0,20.2,0.0,23.16,2.61,0,0.0
2,22,7,0,20.02,0.0,23.5,2.53,0,0.0
2,23,7,0,19.84,0.0,23.85,2.72,0,0.0
2,24,7,0,19.7,0.0,24.05,2.47,0,0.0
2,1,1,0,19.43,0.0,24.41,0.42,0,0.0
2,2,1,0,19.11,0.0,24.88,0.38,0,0.0
2,3,1,0,18.84,0.0,25.27,0.38,0,0.0
2,4,1,0,18.57,0.0,25.66,0.36,0,0.0
2,5,1,0,18.39,0.0,25.9,0.4,0,0.0
2,6,1,0,18.27,0.0,26.05,0.45,0,0.0
2,7,1,0,18.14,0.0,26.34,0.43,0,0.0
2,8,1,0,18.04,0.0,26.65,0.44,0,0.0
2,9,1,0,19.05,0.0,25.29,0.4,0,0.75
2,10,1,0,20.64,0.0,23.24,2.15,0,0.81
2,11,1,0,20.9,0.0,23.91,6.57,0,0.0
2,12,1,0,20.97,0.0,25.07,9.1,0,0.0
2,13,1,0,20.95,0.0,25.94,9.46,0,0.0
2,14,1,0,20.97,0.0,27.48,8.54,0,0.0
2,15,1,0,20.99,0.0,29.14,8.64,0,0.0
2,16,1,0,20.95,0.0,28.25,8.09,0,0.0
2,17,1,0,20.99,0.0,27.32,8.29,0,0.0
2,18,1,0,20.98,0.0,26.32,5.76,0,0.0
2,19,1,0,20.69,0.0,26.46,2.59,0,0.0
2,20,1,0,20.31,0.0,27.02,2.71,0,0.0
2,21,1,0,20.22,0.0,27.13,2.41,0,0.0
2,22,1,0,20.12,0.0,27.19,2.25,0,0.0
2,23,1,0,19.99,0.0,27.24,2.31,0,0.0
2,24,1,0,19.83,0.0,27.31,1.4,0,0.0
2,1,2,0,19.62,0.0,27.51,0.45,0,0.06
2,2,2,0,19.31,0.0,27.88,0.39,0,0.0
2,3,2,0,19.01,0.0,28.17,0.44,0,0.0
2,4,2,0,18.78,0.0,28.36,0.4,0,0.0
2,5,2,0,18.61,0.0,28.48,0.43,0,0.0
2,6,2,0,18.5,0.0,28.52,0.45,0,0.0
2,7,2,0,18.42,0.0,28.5,0.43,0,0.0
2,8,2,0,18.87,0.0,27.68,0.47,0,0.63
2,9,2,0,20.94,0.0,24.01,1.65,0,0.11
2,10,2,0,20.88,0.0,23.38,5.8,0,0.0
2,11,2,0,20.96,0.0,22.51,9.44,0,0.0
2,12,2,0,20.97,0.0,22.56,10.07,0,0.0
2,13,2,0,20.93,0.0,23.72,10.07,0,0.0
2,14,2,0,20.97,0.0,25.54,10.07,0,0.0
2,15,2,0,20.99,0.0,26.7,10.07,0,0.0
2,16,2,0,21.0,0.0,24.55,10.07,0,0.0
2,17,2,0,20.99,0.0,22.52,10.06,0,0.0
2,18,2,0,20.98,0.0,21.76,10.07,0,0.0
2,19,2,0,20.93,0.0,21.73,10.07,0,0.0
