Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
15.75,51.38,0.0,0.0,10.43,16.54,9.51,62.58,40.84,77.15,5.2,275.76,0.0,0.74,177.13,0.0
14.55,49.75,0.0,0.0,10.71,17.32,6.48,62.86,38.93,91.82,53.99,228.52,0.0,22.56,341.67,0.0
13.35,52.12,0.0,0.0,11.86,16.52,7.03,56.31,42.3,85.78,129.16,161.83,0.0,138.55,374.52,0.0
12.34,55.25,0.0,0.0,13.41,17.16,5.99,51.22,41.62,95.26,189.81,91.26,0.0,290.36,637.8,0.0
11.5,57.88,0.0,0.0,14.62,17.1,5.77,47.13,42.54,96.31,249.49,32.78,0.0,132.75,484.43,0.0
10.82,60.88,0.0,0.0,15.59,15.17,4.93,43.24,50.39,100.0,259.02,0.0,0.0,61.45,0.0,0.0
10.54,62.0,5.25,0.75,16.29,14.37,4.66,41.61,62.57,98.66,270.94,0.0,5.31,174.04,0.0,17.54
10.88,62.0,54.75,22.88,17.01,13.82,5.34,39.84,73.96,93.61,223.64,0.0,49.91,334.37,0.0,157.98
11.85,56.38,129.0,138.38,16.81,12.55,8.68,41.46,82.79,78.06,165.32,0.0,117.17,382.61,0.0,328.86
13.43,51.12,190.19,290.94,17.16,10.94,11.36,41.62,88.09,63.5,91.25,0.0,170.12,637.78,0.0,459.64
14.85,46.25,254.31,135.31,16.88,10.63,12.64,43.21,82.93,55.1,32.3,0.0,162.41,477.25,0.0,571.9
15.55,43.38,258.19,61.25,15.5,9.07,14.7,49.26,85.54,44.8,0.0,0.0,173.83,0.0,0.0,611.15
16.07,42.38,266.12,170.94,14.52,8.86,16.66,61.91,81.07,39.19,0.0,0.0,164.78,0.0,0.0,686.95
16.74,40.75,218.75,327.06,13.62,7.04,16.13,75.04,88.41,40.12,0.0,0.0,160.86,0.0,0.0,488.68
17.06,40.62,168.81,390.69,12.49,6.94,17.64,83.14,86.33,34.83,0.0,0.0,131.57,0.0,0.0,533.46
17.16,41.62,91.25,637.75,11.19,6.21,15.87,86.55,93.82,38.43,0.0,0.0,61.51,0.0,0.0,501.68
16.7,43.88,31.81,470.06,10.46,5.92,15.27,83.96,95.35,38.89,0.0,0.0,29.78,0.0,0.0,305.41
15.78,48.12,0.0,0.0,9.11,5.37,14.09,85.27,98.26,41.1,0.0,0.0,0.0,0.0,0.0,0.0
14.65,61.25,0.0,0.0,8.54,5.2,13.13,83.04,95.14,44.02,0.0,5.53,0.0,0.0,18.27,0.0
13.45,76.12,0.0,0.0,7.32,5.92,13.75,86.71,90.05,41.1,0.0,52.15,0.0,0.0,165.05,0.0
12.44,83.5,0.0,0.0,6.9,8.41,10.63,86.6,79.66,50.64,0.0,114.96,0.0,0.0,322.65,0.0
11.41,85.0,0.0,0.0,6.32,10.8,11.52,93.1,66.25,45.76,0.0,163.84,0.0,0.0,442.66,0.0
10.31,85.0,0.0,0.0,5.99,12.59,8.04,94.86,55.3,58.12,0.0,161.83,0.0,0.0,569.85,0.0
9.15,85.0,0.0,0.0,5.59,14.61,7.7,96.76,45.09,59.63,0.0,172.72,0.0,0.0,607.26,0.0
8.26,85.0,0.0,0.0,5.47,16.39,7.8,93.38,39.97,58.69,5.64,161.74,0.0,18.64,674.25,0.0
7.56,85.0,0.0,0.0,6.2,16.62,6.26,88.28,38.81,65.06,53.26,166.9,0.0,168.59,507.03,0.0
6.86,86.88,0.0,0.0,8.27,17.53,5.06,80.45,35.11,68.66,113.86,130.57,0.0,319.54,529.39,0.0
6.41,92.38,0.0,0.0,10.52,16.55,2.54,67.62,36.71,79.19,160.7,64.85,0.0,434.18,528.9,0.0
6.05,94.38,0.0,0.0,12.56,15.78,2.84,55.4,37.57,77.6,161.54,30.95,0.0,568.83,317.39,0.0
5.78,95.25,0.0,0.0,14.57,14.49,1.2,45.23,39.99,90.4,172.17,0.0,0.0,605.32,0.0,0.0
5.7,91.62,5.75,19.0,16.26,13.38,1.78,40.36,43.26,86.3,160.21,0.0,5.17,667.91,0.0,28.26
6.45,86.5,54.38,172.12,16.86,13.11,2.3,38.15,43.18,86.58,169.92,0.0,45.32,516.2,0.0,252.78
8.15,81.25,112.75,316.44,17.48,11.04,5.58,35.24,49.26,70.83,130.06,0.0,89.65,527.35,0.0,532.23
10.28,69.0,157.56,425.69,16.9,10.89,6.63,35.86,48.0,67.0,66.52,0.0,103.34,542.51,0.0,621.24
12.54,55.5,161.25,567.81,16.03,8.65,9.22,36.91,55.81,53.24,31.54,0.0,134.64,323.39,0.0,652.58
14.53,45.38,171.62,603.38,14.69,7.88,10.05,39.43,58.88,48.58,0.0,0.0,135.56,0.0,0.0,625.29
16.14,40.75,158.69,661.56,13.5,7.31,12.01,42.88,60.9,40.16,0.0,0.0,137.82,0.0,0.0,656.24
17.07,37.5,172.94,525.38,12.79,5.94,12.77,44.21,66.59,34.51,0.0,0.0,122.42,0.0,0.0,659.07
17.43,35.38,129.56,525.31,11.24,4.74,15.06,48.57,70.27,28.02,0.0,0.0,130.87,0.0,0.0,627.4
17.19,35.0,68.19,556.12,10.58,3.07,14.0,49.13,76.41,30.12,0.0,0.0,87.39,0.0,0.0,448.05
16.25,36.25,32.12,329.38,8.95,2.88,12.71,54.65,77.36,34.03,0.0,0.0,39.06,0.0,0.0,243.33
