Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
744.5,0.0
745.5,0.0
746.5,0.0
747.5,0.0
748.5,0.0
749.5,0.0
750.5,0.0
751.5,33.8212
752.5,153.822
753.5,348.635
754.5,326.621
755.5,246.201
756.5,347.64
757.5,420.658
758.5,341.62800000000004
759.5,353.82
760.5,141.935
761.5,0.0
762.5,0.0
763.5,0.0
764.5,0.0
765.5,0.0
766.5,0.0
767.5,0.0
768.5,0.0
769.5,0.0
770.5,0.0
771.5,0.0
772.5,0.0
773.5,0.0
774.5,0.0
775.5,75.8424
776.5,227.185
777.5,380.332
778.5,532.1619999999999
779.5,573.391
780.5,632.817
781.5,505.458
782.5,407.876
783.5,306.237
784.5,114.475
785.5,0.0
786.5,0.0
787.5,0.0
788.5,0.0
789.5,0.0
790.5,0.0
791.5,0.0
792.5,0.0
793.5,0.0
794.5,0.0
795.5,0.0
796.5,0.0
797.5,0.0
798.5,0.0
799.5,94.1685
800.5,282.06
801.5,458.69599999999997
802.5,541.2230000000001
803.5,600.3969999999999
804.5,586.54
805.5,567.0419999999999
806.5,433.75199999999995
807.5,265.784
808.5,99.6193
809.5,0.0
810.5,0.0
811.5,0.0
812.5,0.0
813.5,0.0
814.5,0.0
815.5,0.0
816.5,0.0
817.5,0.0
818.5,0.0
819.5,0.0
820.5,0.0
821.5,0.0
822.5,0.0
823.5,28.1099
824.5,81.0664
825.5,53.6211
826.5,160.501
827.5,272.624
828.5,166.533
829.5,187.06599999999997
830.5,235.81
831.5,176.35299999999998
832.5,34.8419
833.5,0.0
834.5,0.0
835.5,0.0
836.5,0.0
837.5,0.0
838.5,0.0
839.5,0.0
840.5,0.0
841.5,0.0
842.5,0.0
843.5,0.0
844.5,0.0
845.5,0.0
846.5,0.0
847.5,2.04897
848.5,19.8918
849.5,47.2906
850.5,64.8111
851.5,75.1096
852.5,68.8201
853.5,489.34
854.5,401.339
855.5,256.878
856.5,99.12799999999999
857.5,0.0
858.5,0.0
859.5,0.0
860.5,0.0
861.5,0.0
862.5,0.0
863.5,0.0
864.5,0.0
865.5,0.0
866.5,0.0
867.5,0.0
868.5,0.0
869.5,0.0
870.5,0.0
871.5,1.19107
872.5,12.8862
873.5,38.8396
874.5,33.4424
875.5,248.998
876.5,181.959
877.5,625.972
878.5,542.882
879.5,310.638
880.5,135.05100000000002
881.5,0.0
882.5,0.0
883.5,0.0
884.5,0.0
885.5,0.0
886.5,0.0
887.5,0.0
888.5,0.0
889.5,0.0
890.5,0.0
891.5,0.0
892.5,0.0
893.5,0.0
894.5,0.0
895.5,35.5537
896.5,158.687
897.5,222.899
898.5,247.645
899.5,365.661
900.5,462.915
901.5,487.51199999999994
902.5,521.14
903.5,346.48699999999997
904.5,136.75799999999998
905.5,0.0
906.5,0.0
907.5,0.0
908.5,0.0
909.5,0.0
910.5,0.0
911.5,0.0
912.5,0.0
913.5,0.0
914.5,0.0
915.5,0.0
916.5,0.0
917.5,0.0
918.5,0.0
919.5,108.051
920.5,280.10400000000004
921.5,427.038
922.5,518.011
923.5,561.691
924.5,544.506
925.5,498.39
926.5,404.379
927.5,253.555
928.5,97.4451
929.5,0.0
930.5,0.0
931.5,0.0
932.5,0.0
933.5,0.0
934.5,0.0
935.5,0.0
936.5,0.0
937.5,0.0
938.5,0.0
939.5,0.0
940.5,0.0
941.5,0.0
942.5,0.0
943.5,128.859
944.5,322.466
945.5,502.815
946.5,621.634
947.5,670.549
948.5,673.2769999999999
949.5,599.643
950.5,482.73900000000003
951.5,315.084
952.5,131.778
953.5,0.0
954.5,0.0
955.5,0.0
956.5,0.0
957.5,0.0
958.5,0.0
959.5,0.0
960.5,0.0
961.5,0.0
962.5,0.0
963.5,0.0
964.5,0.0
965.5,0.0
966.5,0.0
967.5,118.45700000000001
968.5,298.135
969.5,455.348
970.5,556.325
971.5,606.243
972.5,591.112
973.5,535.68
974.5,431.63800000000003
975.5,286.193
976.5,114.34899999999999
977.5,0.0
978.5,0.0
979.5,0.0
980.5,0.0
981.5,0.0
982.5,0.0
983.5,0.0
984.5,0.0
985.5,0.0
986.5,0.0
987.5,0.0
988.5,0.0
989.5,0.0
990.5,0.0
991.5,139.29
992.5,349.66900000000004
993.5,532.0319999999999
994.5,654.019
995.5,712.7130000000001
996.5,715.321
997.5,650.726
998.5,533.493
999.5,365.879
1000.5,151.562
1001.5,0.0
1002.5,0.0
1003.5,0.0
1004.5,0.0
1005.5,0.0
1006.5,0.0
