Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
2,1,4,0,22.47,0.0,37.89,10.4,0.36,8.29
2,2,4,0,22.35,0.0,38.1,7.3,0.36,4.25
2,3,4,0,22.29,0.0,37.65,8.7,2.76,4.01
2,4,4,0,22.24,0.0,37.22,8.6,0.0,2.66
2,5,4,0,22.23,0.0,36.75,10.6,0.36,3.18
2,6,4,0,22.06,0.0,36.8,7.7,0.72,0.89
2,7,4,0,22.2,0.0,36.25,14.6,3.0,4.34
2,8,4,0,22.11,0.0,36.21,9.5,10.08,1.57
2,9,4,0,22.21,0.0,35.54,11.3,15.24,3.98
2,10,4,0,22.28,0.0,34.47,8.0,13.68,5.34
2,11,4,0,22.34,0.0,33.87,9.2,21.48,6.36
2,12,4,0,22.36,0.0,33.33,9.0,10.56,6.19
2,13,4,0,22.44,0.0,32.52,11.7,0.6,10.91
2,14,4,0,22.5,0.0,31.92,14.2,0.12,17.03
2,15,4,0,22.52,0.0,31.55,15.7,1.44,21.69
2,16,4,0,22.51,0.0,31.49,10.4,2.76,21.27
2,17,4,0,22.51,0.0,31.61,14.1,0.96,21.38
2,18,4,0,22.5,0.0,32.18,13.2,2.04,11.91
2,19,4,0,22.5,0.0,33.66,15.4,3.48,12.95
2,20,4,0,22.47,0.0,36.68,13.0,3.12,9.11
2,21,4,0,22.44,0.0,38.81,12.9,3.48,7.9
2,22,4,0,22.37,0.0,41.14,11.8,3.0,5.8
2,23,4,0,22.33,0.0,42.18,13.0,1.56,5.28
2,24,4,0,22.24,0.0,42.39,12.2,0.24,2.94
2,1,5,0,21.91,0.0,42.93,7.8,1.68,0.4
2,2,5,0,21.62,0.0,43.04,7.0,0.36,0.06
2,3,5,0,21.48,0.0,42.54,8.0,0.6,0.03
2,4,5,0,21.3,0.0,42.35,7.9,0.0,0.0
2,5,5,0,21.32,0.0,41.99,10.6,0.6,0.02
2,6,5,0,21.2,0.0,41.91,9.1,7.44,0.0
2,7,5,0,21.32,0.0,41.13,13.5,11.52,0.04
2,8,5,0,21.35,0.0,40.4,10.2,8.76,0.18
2,9,5,0,21.57,0.0,39.2,10.8,9.6,0.92
2,10,5,0,21.85,0.0,37.59,11.5,9.84,3.43
2,11,5,0,22.18,0.0,35.46,14.8,4.08,8.35
2,12,5,0,22.28,0.0,33.94,11.5,9.12,9.26
2,13,5,0,22.35,0.0,32.56,9.8,12.36,11.38
2,14,5,0,22.42,0.0,31.49,11.1,1.32,14.09
2,15,5,0,22.45,0.0,30.45,10.5,1.8,16.8
2,16,5,0,22.45,0.0,29.7,8.0,0.36,15.72
2,17,5,0,22.47,0.0,28.85,11.0,2.28,13.85
2,18,5,0,22.47,0.0,28.31,11.3,2.52,7.69
2,19,5,0,22.48,0.0,28.36,18.6,4.92,14.06
2,20,5,0,22.47,0.0,28.75,16.0,1.32,9.64
2,21,5,0,22.46,0.0,28.93,15.8,1.08,7.99
2,22,5,0,22.36,0.0,29.24,12.0,0.6,3.71
2,23,5,0,22.23,0.0,29.53,11.3,1.8,2.12
2,24,5,0,21.93,0.0,30.08,8.8,1.56,0.65
2,1,6,0,21.78,0.0,30.33,10.1,0.12,0.44
2,2,6,0,21.34,0.0,31.09,6.7,0.12,0.0
2,3,6,0,21.15,0.0,31.19,6.9,0.0,0.0
2,4,6,0,21.1,0.0,30.98,8.1,0.12,0.0
2,5,6,0,21.04,0.0,30.79,8.3,0.24,0.0
2,6,6,0,20.99,0.0,30.63,8.2,0.48,0.0
2,7,6,0,21.02,0.0,30.42,12.3,2.28,0.0
2,8,6,0,21.12,0.0,30.12,10.0,7.08,0.07
2,9,6,0,21.48,0.0,29.33,12.2,6.6,1.35
2,10,6,0,21.77,0.0,28.46,11.5,12.0,3.71
2,11,6,0,21.85,0.0,27.85,9.1,12.84,4.21
2,12,6,0,21.9,0.0,27.26,7.5,11.88,5.99
2,13,6,0,22.23,0.0,26.03,15.6,6.84,13.08
2,14,6,0,22.38,0.0,24.77,14.5,2.16,15.21
2,15,6,0,22.43,0.0,23.81,14.0,2.64,17.86
2,16,6,0,22.42,0.0,23.06,11.3,5.52,14.14
2,17,6,0,22.39,0.0,22.58,9.2,4.92,8.05
2,18,6,0,22.43,0.0,22.36,14.1,5.4,6.55
2,19,6,0,22.42,0.0,22.68,13.3,10.92,5.15
2,20,6,0,22.47,0.0,23.2,20.8,2.28,10.13
2,21,6,0,22.35,0.0,23.74,14.5,1.56,3.23
2,22,6,0,21.88,0.0,24.63,9.6,2.28,0.64
2,23,6,0,21.81,0.0,24.65,13.3,1.44,0.99
2,24,6,0,21.5,0.0,25.03,10.9,0.6,0.04
2,1,7,0,21.24,0.0,25.24,10.2,0.72,0.0
2,2,7,0,21.07,0.0,25.04,9.1,0.48,0.0
2,3,7,0,20.97,0.0,24.63,7.1,0.96,0.0
2,4,7,0,20.96,0.0,24.09,7.8,0.24,0.0
2,5,7,0,20.97,0.0,23.58,12.7,0.36,0.0
2,6,7,0,20.96,0.0,23.22,10.6,1.56,0.0
2,7,7,0,20.96,0.0,22.86,11.2,1.56,0.0
2,8,7,0,20.96,0.0,22.43,11.6,3.84,0.0
2,9,7,0,20.96,0.0,21.77,10.5,3.84,0.0
2,10,7,0,20.96,0.0,20.9,11.7,14.52,0.0
2,11,7,0,20.96,0.0,20.35,7.0,15.36,0.0
2,12,7,0,20.96,0.0,20.14,9.1,9.36,0.0
2,13,7,0,20.96,0.0,20.11,12.1,2.88,0.0
2,14,7,0,20.96,0.0,20.13,15.5,4.32,0.0
